"District","Sl. No.","Location","May 2013","August 2013","November 2013","January 2014"
"",207,Padla 1(s),36.81,-,39.41,-
"",208,Peoda_Pz,12.92,14.16,10.85,10.70
"",209,Pundri(s),23.67,-,22.82,-
"",210,Rajaund-Pz,12.22,-,12.65,-
"",211,Rajound S,11.62,-,12.45,10.70
"",212,Sirsal-Pz,21.50,-,25.16,-
"",213,Titiana 1(s),20.72,-,21.50,-
KARNAL,214,Amin S,28.72,-,29.03,-
"",215,Anjanthali-Pz,-,-,21.22,-
"",216,Balhera-s,6.63,-,6.00,-
"",217,Baragaon-Pz,18.82,-,17.00,-
"",218,Biana-Pz,8.79,-,7.43,-
"",219,Dadupur Khurd-Pz,13.76,13.12,12.92,-
"",220,Dingar Majra-Pz,34.92,37.55,35.25,34.20
"",221,Domsi D,23.20,,23.75,-
"",222,Faridpur-Pz,25.90,32.00,29.10,28.10
"",223,Gangatheri,23.65,26.30,26.85,
"",224,Garhi Khajur S,15.93,-,16.35,-
"",225,Gharaunda-Pz,30.03,-,32.27,-
"",226,Ghiar-Pz,8.76,-,8.42,-
"",227,Indri,11.59,-,10.15,-
"",228,Jabhala-Pz,19.27,19.26,17.35,16.75
"",229,Jalmana PZ,-,-,24.42,-
"",230,Jaroli Khurd-Pz,6.85,-,7.05,-
"",231,Jhanjari-Pz,14.73,-,15.98,-
"",232,Jundla1,18.39,-,20.75,-
"",233,Kachhwa Pz,17.11,-,-,-
"",234,Kalri Jagir S,8.09,-,7.05,-
"",235,Kurlan-Pz,19.55,19.45,-,-
"",236,Kutail S,23.47,-,24.30,-
"",237,Majra Roran,20.83,-,21.46,-
"",238,Makhala S,7.12,-,7.14,-
"",239,Manak Majra-Pz,22.92,-,22.91,-
"",240,Mohidinpur-Pz,-,-,16.45,-
"",241,Mound S,19.99,-,22.48,-
"",242,Nalvi Kalan-Pz,-,-,13.88,-
"",243,Nanhera,5.38,-,4.17,-
"",244,Nilokheri-Pz,21.26,-,21.64,-
"",245,Padhana-DW,17.17,-,17.85,-
"",246,Phurlak S,22.84,-,24.17,-
"",247,Phusgarh-Pz,21.49,-,21.80,-
"",248,Rambha-Pz,7.56,-,7.01,-
"",249,Randauli-Pz,9.87,-,7.96,-
"",250,Rattak-Pz,23.05,-,24.54,-
"",251,Sagga-Pz,19.71,-,22.47,-
"",252,Salarpur-Pz,-,-,11.35,-
"",253,Salwan-B,17.58,17.10,19.88,13.90
"",254,Sambli-Pz-M,-,-,21.65,-
"",255,Sambli-Pz-S,-,-,21.21,-
"",256,Saunkra S,20.58,-,22.11,-
"",257,Sugar Cane Breeding Farm,23.10,-,23.03,-
"",258,Taraori-Pz,20.48,-,21.51,-
"",259,Udana-Pz,31.56,-,31.69,-
KURUKSHETRA,260,Bachki-Pz,29.15,30.10,30.37,29.40
"",261,Ban- Pz,25.20,26.50,25.08,25.70
"",262,Baronda-Pz,21.38,21.40,20.60,18.55
"",263,Berthala S,35.93,-,37.43,-
"",264,Bodhni (s),31.03,-,32.79,-
"",265,Dabkhera-Pz,34.88,34.40,34.35,-
"",266,Hatira  (s),21.15,-,22.36,-
"",267,Ishaque S,26.42,-,27.55,-
"",268,Kaulapur S,38.94,-,40.43,-
"",269,Malikpur-Singhpura-Pz,30.81,35.60,31.41,31.00
"",270,Murtzapur-Pz,23.60,24.97,26.00,24.54
"",271,Samalkhi-Pz,39.82,-,44.35,43.50
"",272,Sirsala-Pz,33.44,-,34.37,-
MAHENDRAGARH,273,Buchawas,26.02,-,-,-
"",274,Buwana-Pz,43.90,42.40,42.60,
"",275,Deroli Ahir,-,-,13.10,-
"",276,Deroli Ahir1,15.90,-,13.80,-
"",277,Khatodra-Pz,71.60,70.12,70.12,70.00
"",278,Lukhi,14.91,-,14.31,-
"",279,Narnaul,13.31,9.80,9.63,8.90
PANCHKULA,280,Devnagar(Panchkula),9.00,8.36,9.17,-
"",281,Dharampur,13.70,-,8.60,-
"",282,Kakar Majra,11.26,-,10.17,-
"",283,Khera,30.06,-,27.67,-
"",284,Mehranwali,28.41,-,16.45,-
"",285,Parwala,17.20,-,16.35,-
"",286,Patwi,13.63,13.54,12.82,12.84
"",287,Raipurrani,6.73,7.88,4.50,5.20
PANIPAT,288,Babail Pz S,12.00,-,12.35,-
"",289,Babail VS-Pz,11.90,-,-,-
"",290,Bhallour Pz,12.22,-,2.67,-
"",291,Dakadla S,22.11,-,23.16,-
"",292,Dharamgarh S,13.21,-,-,-
"",293,Etola-Pz-M,-,-,13.45,-
"",294,Etola-Pz-S,-,-,13.31,-
"",295,Hathwala-Pz,10.45,9.33,8.81,8.60
"",296,Israna Pz,3.65,-,3.15,-
"",297,Karhansh Pz,-,-,31.60,-
"",298,Khalila Manjran,4.38,1.45,2.01,-
"",299,Khelalla Pehl S,-,-,24.02,-
"",300,Lohari (s),-,-,1.24,-
"",301,Nariana-PZ,-,19.05,17.62,-
"",302,Nimbri- Pz,25.61,29.40,27.84,26.48
"",303,Patti Kalyana S,-,-,31.05,-
"",304,Puther Pz,-,-,9.05,-
"",305,Sanauli Khurd-Pz,11.40,11.85,10.48,10.90
"",306,Shahpur,2.26,-,2.86,-
"",307,Sink,5.69,-,5.00,-
"",308,Untilya,4.05,3.00,2.95,3.30
"",309,Urlana Kalan,11.88,-,12.99,-
REWARI,310,Bahu,-,9.65,9.40,10.05
"",311,Balawas,23.08,-,25.67,-
"",312,Bawal,20.90,20.25,20.50,-
"",313,Bawal DW,20.90,-,20.05,-
"",314,Bawal Pz,28.00,-,24.67,-
"",315,Gangaichajat,9.05,-,13.10,-
"",316,Guriani,18.37,-,15.91,-
"",317,Karnawas,11.65,-,8.95,9.60
"",318,Kosli,-,-,12.80,12.90
"",319,Mandola-Pz,60.12,60.00,61.45,60.00
"",320,Nangal Jamalpur-Pz,70.92,70.25,70.78,-
"",321,Rholiawas-Pz,10.65,-,9.88,-
"",322,Sangwari,12.36,-,-,-
ROHTAK,323,Baland,2.08,-,1.51,-
"",324,Bhal Anandpur,-,0.99,1.85,1.93
"",325,Hassangarh,6.70,3.10,4.07,6.10
"",326,Kalanaur,2.17,2.18,-,-
"",327,Kalanaur Pz,-,3.26,-,-
"",328,Kansala,3.23,1.48,1.74,-
"",329,Kharawar,5.55,-,1.43,-
"",330,Lakhan Majara,2.70,-,0.89,-
"",331,Lakhan Majra Pz,2.70,-,0.89,-
"",332,Madina,3.61,-,2.85,-
"",333,Mahem,12.10,12.25,10.99,-
"",334,Nidhana,2.50,1.50,1.41,4.55
"",335,Rukhi,3.37,-,1.25,1.56
"",336,Samargopalpur,2.87,2.27,2.11,-
"",337,Sampla,1.37,-,0.66,-
"",338,Sampla-Pz,1.37,-,-,-
SIRSA,339,Bhuratwala-Pz,11.24,-,10.81,10.10
"",340,Chormar,16.66,16.32,16.34,-
"",341,Chotala-Pz,9.76,9.10,9.02,-
"",342,Dabwali Dw,9.55,9.25,9.15,-
"",343,Dabwali -Pz S,7.37,-,7.92,-
"",344,Darba Kalan-Pz,2.02,0.85,1.51,-
"",345,Ding,20.41,16.81,17.73,-
"",346,Ganga,9.75,9.60,-,-
"",347,Ghushiana,14.14,13.51,13.90,13.46
"",348,Gigorani,5.42,4.71,4.97,-
"",349,Goriwala,16.98,17.35,16.77,16.65
"",350,Goriwala-Pz,16.19,15.95,15.81,15.90
"",351,Jamal,5.66,-,5.40,-
"",352,Jamal- Pz,5.72,5.90,4.01,-
"",353,Kalanwali Mandi-Pz,7.86,7.45,7.50,-
"",354,Kaluwana,11.22,10.77,11.12,10.79
"",355,Karamsana,9.23,8.97,9.19,-
"",356,Kash Ram Dhab,12.28,10.51,13.30,12.85
"",357,Khuiyan,13.76,14.20,13.90,-
"",358,Mammer Khera-Pz,18.97,18.60,-,-
"",359,Mangala-Pz,61.26,61.20,63.02,63.15
"",360,Manjiyana,14.28,13.22,13.64,13.96
"",361,Mastian,15.97,14.63,14.43,14.47
"",362,Mithri,16.60,-,15.68,-
"",363,Nuhian Wali,15.13,14.90,15.06,-
"",364,Odhan Pz,14.66,-,14.18,-
"",365,Panniwala Mota,10.53,9.24,10.12,9.82
"",366,Phaggu-Pz,4.50,4.29,4.47,4.35
"",367,Rasalia Khera,19.32,15.93,19.20,19.31
"",368,Rori -DW,8.01,9.09,7.56,-
"",369,Saktakhera,4.55,3.04,4.32,-
"",370,Shergarh-DW,-,8.26,9.01,8.25
"",371,Sherpura,15.58,15.27,15.10,-
"",372,Sirsa-Pz,33.81,-,34.90,-
"",373,Sri Jiwan Nagar-B,38.55,-,40.77,-
"",374,Taruwana,7.96,7.57,7.83,-
"",375,Tejakhera,5.37,-,3.90,-
SONIPAT,376,Ahulana,2.90,1.98,1.72,1.65
"",377,Anwali-Pz,2.55,-,-,-
"",378,Barauli-Pz,-,8.50,7.90,-
"",379,Barswani- DW,5.14,-,3.94,-
"",380,Barwasni Pz (s),-,-,4.77,-
"",381,Bega Pz,-,-,12.65,-
"",382,Bhainswal,3.63,1.60,2.04,2.38
"",383,Bhunderi,2.06,1.68,1.86,-
"",384,Bichpuri1,6.73,-,7.43,-
"",385,Bohela,3.99,-,1.09,-
"",386,Butana,4.04,0.83,2.00,2.86
"",387,Chirana,2.65,2.55,1.98,-
"",388,Datauli-Pz,22.22,24.05,23.57,22.64
"",389,Farmana,7.64,6.90,6.42,-
"",390,Garhwal,2.75,-,1.79,-
"",391,Gohana Pz,17.66,-,16.57,-
"",392,Jagsi,1.97,-,1.24,-
"",393,Janti Khurd-Pz,12.90,-,10.90,-
"",394,Jhakauli- Pz,-,-,15.17,-
"",395,Kami- PZ,32.00,32.65,32.91,32.54
"",396,Kathura Pz,1.94,-,1.26,-
"",397,Khanpur Kalan-Pz,6.05,2.44,3.34,-
"",398,KheoraPz,-,-,27.11,-
"",399,Lath,1.67,-,1.33,-
"",400,Machhri,3.11,-,1.60,3.85
"",401,Mahara,7.86,-,6.18,6.85
"",402,Manauli-Pz,-,12.35,11.69,-
"",403,Mohana Pzm,-,-,2.25,-
"",404,Mundlana DW,4.73,-,3.03,-
"",405,Mundlana- Pz,-,-,2.65,-
"",406,Murthal-Pz,31.13,29.40,31.85,31.80
"",407,Nahri,-,4.04,3.88,4.43
"",408,Pinana,6.47,5.85,4.38,4.15
"",409,Pugthala-Pz,6.05,6.55,5.56,-
"",410,Purkhas-Pz,12.65,11.48,13.02,11.65
"",411,Rai(Bahalgarh),22.75,-,23.54,-
"",412,Rathdhana-Pz,20.25,15.80,21.27,20.85
"",413,Rohat,6.51,0.86,0.58,-
"",414,Rukhi-Pz,3.37,-,1.28,-
"",415,Sisnah,7.02,-,5.42,-
YAMUNANAGAR,416,Amadalpur,3.32,1.43,5.73,-
"",417,Bhambauli-1 (m),17.09,-,16.36,-
"",418,Bilaspur DW,4.66,-,2.41,3.11
"",419,Chhachrauli S,15.35,-,11.95,-
"",420,Choli,3.37,1.89,1.26,1.20
"",421,Dhanauri S,14.45,-,12.86,-
"",422,Dhaurang S,15.76,-,13.90,-
"",423,Jhiwarheri S,30.06,-,29.58,-
"",424,Khizrabad,16.74,-,12.95,-
"",425,Mustafabad DW,9.10,7.30,7.13,7.95
"",426,Mustafabad-Pz,-,-,14.16,-
"",427,Naggal-S,5.82,-,4.27,-
"",428,Radaur S,15.23,-,13.88,-
"",429,Rasulpur,-,7.81,-,-
"",430,Rasulpur DW,8.09,7.81,3.35,-
"",431,Sabri,7.08,4.70,5.23,5.50
"",432,Sadhaura,-,-,4.85,-
"",433,Sadhaura DW,8.43,7.37,6.33,7.15
"",434,Sadhaura S,7.63,6.77,6.73,-
"",435,Shadipur,5.90,-,4.48,-
