"Sl. No.","District","Location","May 2014","August 2014","November 2014","January 2015"
152.,,Umra,6.20,-,6.75,-
153.,JHAJJAR,Badli,-,-,11.74,-
154.,,Bagoa,3.38,2.15,3.35,2.90
155.,,Chamanpura,2.35,4.27,2.69,3.60
156.,,Chhara,4.89,5.16,5.41,5.51
157.,,Chuchakwas,4.24,6.06,4.16,4.26
158.,,Dighal,1.88,1.77,3.25,1.77
159.,,Dubhaldhan,5.54,-,4.63,-
160.,,Dulhera,3.86,3.99,5.39,5.39
161.,,Hasanpur,-,-,5.84,-
162.,,Gabhana,2.24,-,-,-
163.,,Jhajjar,3.86,3.18,3.95,4.11
164.,,Kulasi,0.82,-,-,0.45
165.,,Mudsa,1.37,-,0.55,-
166.,,Salhawas,-,-,4.08,-
167.,,Subnah,-,6.42,0.56,7.01
168.,,Sankol,1.95,-,1.78,-
169.,,Wazirpur,1.84,-,1.70,-
170.,JIND,Alewa Pz,30.10,-,-,-
171.,,ATI Krishna1(s),21.15,-,24.78,-
172.,,Baroda,16.56,-,16.35,-
173.,,Bhuslana-Pz,14.93,-,16.65,-
174.,,Brahmanwas,9.69,-,8.00,-
175.,,Chhabri,4.07,4.58,4.03,4.50
176.,,Dhandauli Pz,13.43,-,46.85,-
177.,,Dorana Pz,21.94,-,22.75,-
178.,,Ghaso,14.07,-,17.47,-
179.,,Jhamula,4.60,-,4.27,4.77
180.,,Julana Pz,5.70,-,5.15,-
181.,,Khatkaran,13.38,-,12.30,-
182.,,Korar,11.76,-,10.41,10.76
183.,,Lochp Pz,,,14.53,-
184.,,Mohal Khera Pz,5.32,-,4.95,-
185.,,Narwana S,2.15,-,2.85,-
186.,,Narwana S-Pz,2.15,-,-,--
187.,,Pillukhera,6.10,-,5.60,-
188.,,Safidon (s),14.20,-,16.15,-
189.,,Safidon 1(s),15.00,-,15.58,-
190.,,Uchana,18.67,--,-,19.62
191.,,Uchana Pz,17.60,-,-,-
192.,KAITHAL,Bhana-Pz,12.66,-,14.80,-
193.,,Guhna,23.98,27.38,-,26.68
194.,,Jakhauli-Pz,-,12.50,14.70,11.36
195.,,Jandaula-Pz,29.00,-,30.85,-
196.,,Jateri,18.92,-,21.05,-
197.,,Kaithal S,4.17,-,-,-
198.,,Kalayat,3.22,-,2.40,-
199.,,Kalayat S,4.77,-,4.35,-
200.,,Kathana-Pz,13.40,15.45,-,-
201.,,Kelaram,6.36,-,8.38,-
202.,,Kheorak-Pz,29.36,-,34.10,-
203.,,Manaspatti-Pz,34.08,36.50,37.25,37.10
204.,,Mataur,6.44,-,7.41,-
205.,,Mundri,16.14,-,14.35,-
206.,,Padla 1(s),37.09,-,-,-
207.,,Peoda_Pz,12.13,-,13.35,-
208.,,Pundri(s),21.89,-,23.82,
209.,,Rajaund-Pz,10.07,-,12.55,-
210.,,Rajound S,12.85,-,-,-
211.,,Sirsal-Pz,22.25,-,27.25,-
212.,,Titiana 1(s),21.34,-,-,-
213.,KARNAL,Amin S,28.56,-,29.03,-
214.,,Balhera-s,5.24,-,-,-
215.,,Dadupur Khurd-Pz,12.45,-,13.99,14.40
216.,,Dhomsi(shallow),23.38,-,-,-
217.,,Dingar Majra-Pz,32.78,42.90,35.34,34.15
218.,,Domsi D,22.07,-,-,-
219.,,Faridpur-Pz,26.00,31.00,30.10,26.50
220.,,Gangatheri,24.89,29.20,29.70,-
221.,,Garhi Khajur S,15.52,-,17.23,-
222.,,Indri,-,6.0,10.14,-
223.,,Jabhala-Pz,15.67,-,-,-
224.,,Jaroli Khurd-Pz,6.42,-,6.60,-
225.,,Jundla1,17.63,-,21.81,-
226.,,Kalri Jagir S,3.90,-,2.31,-
227.,,Kutail S,23.03,-,24.68,-
228.,,Majra Roran,20.75,-,20.77,-
229.,,Makhala S,7.07,-,6.75,-
230.,,Mohidinpur-Pz,14.60,-,15.53,14.35
231.,,Mound S,20.67,-,24.02,-
232.,,Nalvi Kalan-Pz,13.70,-,12.65,-
233.,,Nanhera,7.85,-,-,-
234.,,Phurlak S,19.58,-,22.45,-
235.,,Salwan-B,17.73,-,-,-
236.,,Sambli-Pz-M,21.75,-,-,-
237.,,Sambli-Pz-S,21.31,-,-,-
238.,,Saunkra S,20.02,-,-,-
239.,,Sugar Cane Breeding Farm,23.07,-,-,-
240.,KURUKSHETRA,Bachki-Pz,28.90,33.30,32.99,-
241.,,Ban- Pz,23.94,28.31,25.79,-
242.,,Baronda-Pz,19.87,23.80,19.83,18.80
243.,,Berthala S,35.08,-,36.12,-
244.,,Bodhni (s),32.38,-,31.78,-
245.,,Dabkhera-Pz,33.45,38.70,35.71,-
246.,,Hatira  (s),21.56,-,21.87,-
247.,,Ishaque S,26.51,-,26.39,-
248.,,Kaulapur S,34.05,-,34.73,-
249.,,Malikpur-Singhpura-Pz,31.05,37.70,31.38,-
250.,,Murtzapur-Pz,24.50,25.80,26.58,-
251.,,Pehowa 3 (s),31.29,-,-,--
252.,,Samalkhi-Pz,41.98,-,41.58,-
253.,,Sirsala-Pz,33.37,42.29,38.37,-
254.,MAHENDRAGARH,Buwana-Pz,44.60,46.00,47.13,-
255.,,Khatodra-Pz,71.78,-,75.72,-
256.,,Lukhi,15.90,-,15.13,14.85
257.,,Narnaul,11.36,8.40,12.78,8.20
258.,PANCHKULA,Devnagar(Panchkula),9.86,-,9.12,8.75
259.,,Dharampur,13.95,-,9.47,-
260.,,Kakar Majra,11.04,-,10.30,-
261.,,Khera,30.25,-,28.69,-
262.,,Parwala,18.35,-,17.36,-
263.,,Patwi,13.08,12.84,13.29,13.43
264.,,Raipur Rani-Pz,-,4.88,-,5.62
265.,,Raipurrani,11.67,4.56,13.63,-
266.,PANIPAT,Babail Pz S,12.60,-,13.05,-
267.,,Babail VS-Pz,-,-,13.00,-
268.,,Bhallour Pz,-,-,10.45,-
269.,,Dakadla S,20.26,-,24.62,-
270.,,Dharamgarh S,-,-,14.30,-
"",,Etola-Pz-M,-,-,14.10,-
271.,,Etola-Pz-S,-,-,13.90,-
272.,,Hathwala-Pz,8.86,10.20,9.95,8.80
273.,,Israna Pz,4.03,-,4.03,-
274.,,Karhansh Pz,30.30,-,33.70,-
275.,,Khalila Manjran,4.43,-,3.10,4.25
276.,,Khelalla Pehl S,21.84,-,25.28,-
277.,,Lohari (s),2.08,-,1.31,-
278.,,Nariana-PZ,16.65,-,18.50,17.50
279.,,Nimbri- Pz,26.20,30.00,28.80,27.75
280.,,Patti Kalyana S,-,-,33.80,-
281.,,Puther Pz,-,-,9.12,-
282.,,Sanauli Khurd-Pz,13.13,15.50,10.70,-
283.,,Shahpur,4.36,-,3.68,-
284.,,Sink,5.44,-,4.95,-
285.,,Untilya,3.85,4.60,3.75,3.70
286.,,Urlana Kalan,11.66,-,11.90,12.56
287.,REWARI,Bahu,12.31,-,10.65,-
288.,,Bawal,-,-,-,20.20
289.,,Bawal DW,19.80,20.30,20.34,-
290.,,Bawal Pz,25.80,-,26.20,-
291.,,Gangaichajat,,,14.43,-
292.,,Karnawas,10.18,-,11.16,-
293.,,Kosli,12.37,-,-,-
294.,,Mandola-Pz,58.80,61.25,62.15,-
295.,,Rholiawas-Pz,-,-,10.55,-
296.,,Sangwari,18.11,-,6.74,-
297.,ROHTAK,Baland,2.15,-,2.16,-
298.,,Bhal Anandpur,2.68,2.59,2.34,2.24
299.,,Hassangarh,-,5.20,6.04,2.10
300.,,Kansala,3.00,2.78,2.49,-
301.,,Kharawar,2.70,2.70,3.29,-
302.,,Lakhan Majara,1.16,-,1.19,-
303.,,Madina,3.23,3.52,3.29,3.26
304.,,Mahem,12.86,13.85,14.25,14.30
305.,,Samargopalpur,3.55,3.06,2.64,2.24
306.,,Sampla,1.41,-,1.16,-
307.,,Sampla -Pz,,,0.76,-
308.,SIRSA,Bhuratwala-Pz,10.01,10.98,10.55,-
309.,,Chormar,15.82,-,16.58,-
310.,,Chptala,-,-,9.61,-
311.,,Chotala-Pz,8.73,9.00,9.13,-
312.,,Dabwali Dw,9.05,-,9.43,-
313.,,Dabwali -Pz S,5.28,11.80,8.12,-
314.,,Darba Kalan-Pz,2.37,1.45,1.62,1.78
315.,,Ding,17.41,-,17.19,-
316.,,Ganga,,,8.91,-
317.,,Ghushiana,13.52,13.54,14.34,-
318.,,Gigorani,4.37,5.41,5.35,-
319.,,Goriwala,16.20,16.90,16.73,-
320.,,Goriwala-Pz,15.47,16.00,-,-
321.,,Jamal,4.03,-,5.08,-
322.,,Jamal- Pz,4.50,-,-,-
323.,,Kalanwali Mandi-Pz,6.65,-,7.65,-
324.,,Kaluwana,10.78,-,11.30,-
325.,,Karamsana,8.60,-,9.11,-
326.,,Kash Ram Dhab,12.05,--,12.78,
327.,,Khuyian,,,14.60,--
328.,,Mammer Khera-Pz,18.35,-,-,-
329.,,Mangala-Pz,62.20,-,-,-
330.,,Manjiyana,13.91,14.38,14.51,-
331.,,Mastian,-,-,14.63,-
332.,,Mithri,16.60,-,17.37,
333.,,Nuhian Wali,15.35,--,15.21,-
334.,,Odhan Pz,14.32,-,14.29,--
335.,,Panniwala Mota,9.94,9.90,9.51,-
336.,,Phaggu-Pz,4.29,4.52,4.52,--
337.,,Rasalia Khera,19.30,19.35,19.34,-
338.,,Rori -DW,,,6.64,-
339.,,Saktakhera,4.16,-,4.53,4.54
340.,,Shergarh - DW,-,-,9.12,-
341.,,Sherpura,15.13,15.01,15.00,14.98
342.,,Sirsa -PZ,,,35.88,-
343.,,Sri Jiwan Nagar-B,40.30,-,43.68,-
344.,,Taruwana,7.97,4.07,8.05,-
345.,,Tejakhera,4.85,-,4.10,-
346.,SONIPAT,Ahulana,1.22,1.97,1.07,-
347.,,Barauli - pz,-,9.41,7.85,-
348.,,Barswani- DW,5.96,-,6.30,-
349.,,Barwasni Pz (s),5.49,-,6.66,-
350.,,Bega -PZ,,,12.10,-
351.,,Bhainswal,2.70,-,1.85,-
352.,,Bhunderi,1.82,-,2.13,-
353.,,Bichpuri 1,,,7.55,-
354.,,Bohela,2.44,-,1.44,-
355.,,Butana,4.43,2.73,3.56,-
356.,,Chirana,3.50,6.00,-,-
357.,,Datauli-Pz,22.42,-,25.30,-
358.,,Farmana,7.00,6.60,6.30,-
359.,,Garhwal,2.19,-,2.32,-
360.,,Gohana - Pz,,,17.95,-
361.,,Jagsi,1.77,-,1.17,-
362.,,Janti Khurd-Pz,-,-,12.30,--
363.,,Jhakauli- Pz,18.92,-,20.15,-
364.,,Kami- PZ,31.75,-,34.10,-
365.,,Kathura Pz,2.54,-,1.99,-
366.,,Khanpur Kalan-Pz,3.66,-,5.55,--
367.,,KheoraPz,24.50,-,27.20,--
368.,,Lath,1.67,2.03,1.78,--
369.,,Machhri,3.78,-,2.13,-
370.,,Manauli-Pz,-,10.10,7.46,-
371.,,Mahara,6.86,-,12.50,-
372.,,Mohana Pzm,2.77,-,3.66,-
373.,,Mundlana DW,6.27,-,-,5.06
374.,,Mundlana- Pz,3.32,8.60,6.27,-
375.,,Murthal-Pz,32.36,32.40,32.45,-
376.,,Nahri,5.28,5.63,4.21,-
377.,,Pinana,4.37,-,5.30,-
378.,,Pugthala-Pz,5.95,6.65,6.55,-
379.,,Purkhas-Pz,13.06,11.48,14.25,-
380.,,Rai(Bahalgarh),23.42,-,25.85,--
381.,,Rasoi pz,,,13.89,--
382.,,Rathdhana-Pz,21.36,23.00,21.55,--
383.,,Rohat,1.42,1.04,4.39,-
384.,,Rukhi-Pz,1.84,1.20,2.90,-
385.,,Sisnah,6.14,-,5.95,-
386.,YAMUNANAGAR,Amadalpur,7.46,-,-,-
387.,,Amadalpur-DW,-,10.05,-,-
388.,,Bhambauli-1 (m),10.77,-,-,-
389.,,Bilaspur DW,3.65,-,-,-
390.,,Chhachrauli S,15.89,-,16.20,-
391.,,Choli,2.22,-,1.39,-
392.,,Dhanauri S,12.37,-,-,-
393.,Dhaurang S,14.53,-,14.51,--
394.,Jhiwarheri S,28.64,-,31.50,--
395.,Khizrabad,15.84,-,14.87,-
396.,Mustafabad DW,8.65,8.55,8.45,7.57
397.,Mustafabad-Pz,12.90,-,13.12,-
398.,Naggal-S,4.28,-,4.92,-
399.,Radaur S,14.10,-,-,-
400.,Rasulpur,5.53,-,-,-
401.,Rasulpur DW,5.53,-,6.73,-
402.,Sabri,5.88,5.50,5.48,-
403.,Sadhaura DW,6.12,7.16,-,-
404.,Sadhaura S,5.36,-,5.06,-
405.,Shadipur,5.12,-,5.55,-
